Date,PutCallRatio
2006-11-01,0.64
2006-11-02,0.61
2006-11-03,0.64
2006-11-06,0.55
2006-11-07,0.57
2006-11-08,0.68
2006-11-09,0.61
2006-11-10,0.79
2006-11-13,0.59
2006-11-14,0.58
2006-11-15,0.52
2006-11-16,0.53
2006-11-17,0.47
2006-11-20,0.54
2006-11-21,0.62
2006-11-22,0.63
2006-11-24,0.52
2006-11-27,0.68
2006-11-28,0.65
2006-11-29,0.53
2006-11-30,0.58
2006-12-01,0.59
2006-12-04,0.64
2006-12-05,0.57
2006-12-06,0.54
2006-12-07,0.69
2006-12-08,0.55
2006-12-11,0.57
2006-12-12,0.7
2006-12-13,0.57
2006-12-14,0.45
2006-12-15,0.5
2006-12-18,0.59
2006-12-19,0.67
2006-12-20,0.54
2006-12-21,0.45
2006-12-22,0.66
2006-12-26,0.62
2006-12-27,0.68
2006-12-28,0.73
2006-12-29,0.54
2007-01-03,0.59
2007-01-04,0.51
2007-01-05,0.59
2007-01-08,0.71
2007-01-09,0.67
2007-01-10,0.58
2007-01-11,0.54
2007-01-12,0.56
2007-01-16,0.56
2007-01-17,0.55
2007-01-18,0.6
2007-01-19,0.55
2007-01-22,0.62
2007-01-23,0.65
2007-01-24,0.58
2007-01-25,0.71
2007-01-26,0.66
2007-01-29,0.6
2007-01-30,0.68
2007-01-31,0.56
2007-02-01,0.57
2007-02-02,0.7
2007-02-05,0.57
2007-02-06,0.55
2007-02-07,0.65
2007-02-08,0.57
2007-02-09,0.68
2007-02-12,0.78
2007-02-13,0.74
2007-02-14,0.67
2007-02-15,0.54
2007-02-16,0.55
2007-02-20,0.65
2007-02-21,0.71
2007-02-22,0.66
2007-02-23,0.73
2007-02-26,0.75
2007-02-27,0.87
2007-02-28,0.73
2007-03-01,0.8
2007-03-02,0.8
2007-03-05,0.96
2007-03-06,0.77
2007-03-07,0.7
2007-03-08,0.77
2007-03-09,0.82
2007-03-12,0.75
2007-03-13,0.98
2007-03-14,0.89
2007-03-15,0.79
2007-03-16,0.84
2007-03-19,0.61
2007-03-20,0.73
2007-03-21,0.66
2007-03-22,0.61
2007-03-23,0.65
2007-03-26,0.69
2007-03-27,0.62
2007-03-28,0.89
2007-03-29,0.76
2007-03-30,0.67
2007-04-02,0.63
2007-04-03,0.66
2007-04-04,0.74
2007-04-05,0.55
2007-04-09,0.61
2007-04-10,0.69
2007-04-11,0.69
2007-04-12,0.73
2007-04-13,0.67
2007-04-16,0.56
2007-04-17,0.67
2007-04-18,0.54
2007-04-19,0.62
2007-04-20,0.5
2007-04-23,0.58
2007-04-24,0.73
2007-04-25,0.6
2007-04-26,0.6
2007-04-27,0.58
2007-04-30,0.64
2007-05-01,0.73
2007-05-02,0.56
2007-05-03,0.66
2007-05-04,0.54
2007-05-07,0.45
2007-05-08,0.6
2007-05-09,0.53
2007-05-10,0.68
2007-05-11,0.62
2007-05-14,0.51
2007-05-15,0.63
2007-05-16,0.7
2007-05-17,0.49
2007-05-18,0.51
2007-05-21,0.55
2007-05-22,0.6
2007-05-23,0.67
2007-05-24,0.67
2007-05-25,0.55
2007-05-29,0.58
2007-05-30,0.65
2007-05-31,0.51
2007-06-01,0.5
2007-06-04,0.52
2007-06-05,0.63
2007-06-06,0.62
2007-06-07,0.72
2007-06-08,0.6
2007-06-11,0.71
2007-06-12,0.66
2007-06-13,0.58
2007-06-14,0.53
2007-06-15,0.48
2007-06-18,0.58
2007-06-19,0.62
2007-06-20,0.63
2007-06-21,0.61
2007-06-22,0.62
2007-06-25,0.76
2007-06-26,0.71
2007-06-27,0.65
2007-06-28,0.59
2007-06-29,0.65
2007-07-02,0.54
2007-07-03,0.59
2007-07-05,0.55
2007-07-06,0.53
2007-07-09,0.52
2007-07-10,0.59
2007-07-11,0.57
2007-07-12,0.48
2007-07-13,0.5
2007-07-16,0.54
2007-07-17,0.6
2007-07-18,0.73
2007-07-19,0.54
2007-07-20,0.69
2007-07-23,0.54
2007-07-24,0.79
2007-07-25,0.64
